Rank|Name|Sport|Wikipedia Page|Gender|Total Pay|Salary/Winnings|Endorsements|Country|Year|Date|Home|Winnings
37|CC Sabathia|Baseball|http://en.wikipedia.org/wiki/CC_Sabathia|Male|$24,200,000|$23,000,000|$1,200,000|United States|1980|21/07/1980|Vallejo, California|201
37|Chris Paul|Basketball|http://en.wikipedia.org/wiki/Chris_Paul|Male|$24,200,000|$18,700,000|$5,500,000|United States|1985|06/05/1985|Forsyth County, North Carolina, United States|183
37|Chris Paul|Basketball|http://en.wikipedia.org/wiki/Chris_Paul|Male|$24,200,000|$18,700,000|$5,500,000|United States|1980|21/07/1980|Vallejo, California|201
37|Chris Paul|Basketball|http://en.wikipedia.org/wiki/Chris_Paul|Male|$24,200,000|$23,000,000|$1,200,000|United States|1985|06/05/1985|Forsyth County, North Carolina, United States|183
37|Chris Paul|Basketball|http://en.wikipedia.org/wiki/Chris_Paul|Male|$24,200,000|$23,000,000|$1,200,000|United States|1980|21/07/1980|Vallejo, California|201
57|Chris Bosh|Basketball|http://en.wikipedia.org/wiki/Chris_Bosh|Male|$21,800,000|$19,300,000|$2,500,000|Spain|1980|06/07/1980|Barcelona, Spain|213
57|Chris Bosh|Basketball|http://en.wikipedia.org/wiki/Chris_Bosh|Male|$21,800,000|$19,300,000|$2,500,000|United States|1984|24/03/1984|Dallas, Texas, United States|211
57|Chris Bosh|Basketball|http://en.wikipedia.org/wiki/Chris_Bosh|Male|$21,800,000|$19,300,000|$2,500,000|Spain|1980|06/07/1980|Barcelona, Spain|213
57|Chris Bosh|Basketball|http://en.wikipedia.org/wiki/Chris_Bosh|Male|$21,800,000|$19,300,000|$2,500,000|United States|1984|24/03/1984|Dallas, Texas, United States|211
30|Cliff Lee|Baseball|http://en.wikipedia.org/wiki/Cliff_Lee|Male|$25,300,000|$25,100,000|$200,000|United States|1978|30/08/1978|Benton, Arkansas|190
70|Cole Hamels|Baseball|http://en.wikipedia.org/wiki/Cole_Hamels|Male|$20,700,000|$20,200,000|$500,000|United States|1983|20/02/1983|Manakin-Sabot, Virginia|196
70|Cole Hamels|Baseball|http://en.wikipedia.org/wiki/Cole_Hamels|Male|$20,700,000|$20,200,000|$500,000|United States|1982|22/01/1982|Queen City, Texas, United States|193
70|Cole Hamels|Baseball|http://en.wikipedia.org/wiki/Cole_Hamels|Male|$20,700,000|$20,200,000|$500,000|United States|1983|27/12/1983|San Diego, California, United States|193
70|Cole Hamels|Baseball|http://en.wikipedia.org/wiki/Cole_Hamels|Male|$20,750,000|$20,700,000|$50,000|United States|1983|20/02/1983|Manakin-Sabot, Virginia|196
